"ID" "S6_DE.02.17982" "S6_DE.03.21762" "S6_DE.08.4808" "S6_GR.10824" "S6_GR.3810" "S6_GR.5549.D" "S6_GR.6296.D" "S6_GR.7150" "S6_GR.9320" "S6_M140" "S6_M141" "S6_M156"
"cg05820959" 0.458986678734868 0.0523475817184541 0.0478430149779212 0.918603800430944 0.0464323116933294 0.0315319452364691 0.0467420005980581 0.415882266512918 0.476264267128374 0.0847772642705298 0.085551590022238 0.0705497768560218
"cg13120096" 0.913546508740236 0.936273873352205 0.938538752224181 0.934120469084988 0.904447969005613 0.904746990424344 0.87609576598018 0.92536684520392 0.928965424587792 0.91845855511408 0.938803191432611 0.915538442008485
"cg19643252" 0.95436528210118 0.963288732720434 0.97644445175637 0.949040510467918 0.971806546966027 0.952506945777494 0.943839140505222 0.970887118097821 0.98541128534739 0.885199659826011 0.92993739611101 0.843059070257391
"cg08265392" 0.951208434048095 0.941672694838657 0.957173913419664 0.962385134814837 0.964690317649005 0.936278939902613 0.937008024340447 0.966570067986481 0.959530692379272 0.907541485321109 0.881223469704601 0.933636620005219
"cg14481469" 0.912880735165563 0.944709621574222 0.969585919614677 0.963265799800741 0.958524349084942 0.937384778305372 0.904082067566869 0.958476352685193 0.955391349176114 0.871908310200331 0.910987935730795 0.951461660344764
"cg00994032" 0.921390938421256 0.984243300078559 0.969508827742085 0.985426280962564 0.981288376610127 0.940498419913194 0.962734141297487 0.934365846131631 0.990293037861848 0.947798703719696 0.953504025518729 0.928585020494921
"cg16750845" 0.0410506292727627 0.0258344619452317 0.0264301471156499 0.0208488151635911 0.0163320624820338 0.0460258973023815 0.00992938039709404 0.0225072068355776 0.0336897914831424 0.0456351149769247 0.0374692343839707 0.0452414615349448
"cg27289104" 0.0267180635930704 0.0222845830098329 0.0252533974920263 0.023000863193412 0.015176962831773 0.0345121504528256 0.0336863841137863 0.0125122021911774 0.0199788132914536 0.03804710904112 0.0504148621434431 0.0451021579582355
"cg08196628" 0.0288601027611444 0.0187220132323241 0.0340077981964942 0.0179103610050251 0.0230475476627202 0.0245159068439756 0.0229084454474012 0.0207897686682557 0.0194237831947993 0.025604389658951 0.0366737130755931 0.0216512064853132
"cg12838676" 0.0366204197276359 0.0422281573889385 0.031779905307135 0.0331066767318608 0.0302799399995597 0.0301476533051761 0.0252763548011612 0.0376446086705853 0.0256762492367681 0.0599121039415971 0.0672259579715048 0.011104152072546
"cg09530407" 0.0499086747250943 0.0704415064114036 0.0513220192565237 0.0694032425168311 0.043526925780039 0.0634087071173495 0.0725888444979263 0.0763828140591272 0.112879328349505 0.0741032352827418 0.190102518850089 0.161470534850414
"cg05085230" 0.241388583601608 0.17900312773339 0.0789186293564086 0.0749647152781801 0.0574301554418024 0.0656360095272442 0.0493171419809788 0.110066342496539 0.218637698952528 0.307117476538196 0.393339442536982 0.108484385134847
"cg07480446" 0.114923988526975 0.838459000698342 0.34600643021473 0.600735603085982 0.0652146748997702 0.428904916000182 0.117139950811254 0.41156573745801 0.184414816103814 0.145533245883716 0.0577863452595309 0.518621087508161
"cg15324453" 0.0450925426461325 0.0266182684070151 0.03901172273819 0.0345957145102976 0.0331339666308086 0.0264715986646797 0.0413375119204583 0.0326442692256816 0.0121389064073792 0.0243627531427683 0.0307714993423045 0.0191757944497453
"cg04890277" 0.892250678177727 0.845402682956712 0.75126802734043 0.892993971002026 0.859097879058418 0.878837095435837 0.855452089414938 0.891707679176076 0.899125009223857 0.734621290775713 0.760596864861768 0.874256824835153
"cg00427604" 0.926328271783936 0.902119020347663 0.916808326674785 0.918585732583652 0.915620336738593 0.931663686697169 0.554456133196242 0.937721498521072 0.906688117931551 0.949182997754138 0.931871106286555 0.929283325113724
"cg22224704" 0.0246235975651371 0.0614718683792373 0.0396210694024698 0.0180421150914598 0.0805234219876925 0.0523411730255745 0.012134140210896 0 0.0902624164182734 0.0505453817825402 0.100817519230543 0.0618781946708072
"cg07655479" 0.0924871341454237 0.0534511845383675 0.067833609649614 0.0757370828682051 0.0584764911325477 0.0753679783031476 0.0599865017467345 0.0825711151683024 0.0959563502750656 0.0671067005618199 0.0488711561691094 0.058087738654797
"cg13493250" 0.145082200446281 0.360369538444611 0.159276059488171 0.457913818356913 0.29644549747653 0.376350437941614 0.138461159544431 0.366530437640365 0.29284131026535 0.215795684626873 0.093454334833863 0.17734722700443
"cg13718961" 0.867587219600647 0.674073362679649 0.721040775913163 0.788247599351218 0.751897650140076 0.780898314002285 0.753756229074967 0.41043012187003 0.891644701648399 0.820712871026562 0.772578984219302 0.839770545102323
